Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,RawTimTrackAlpha,HoughBaselineAlpha,HoughPeakSource,HoughLocalmaxFallbackUsed,HoughFallbackMassBelow10Deg,HoughFallbackGapToLowerDeg,FascicleCandidateIdx,FascicleRawRejected,FascicleSelectionReason,SuperApoRejected,DeepApoRejected,SuperApoSoftDownweighted,DeepApoSoftDownweighted,SuperApoGateReason,DeepApoGateReason,speckle_zncc,speckle_confidence,forward_backward_error,valid_patch_fraction,n_valid_patches,n_total_patches,motion_consistency,motion_spread_px,n_motion_points,feature_reliability,feature_peak_score,feature_peak_count_score,feature_mask_score,feature_mask_density,geometry_stability,geometry_alpha_score,geometry_pennation_score,geometry_length_score,geometry_angle_jump_deg,geometry_angle_jump_score,geometry_length_jump_px,geometry_length_jump_score,confidence_theta,confidence_length,combined_confidence,r_scale,r_scale_theta,r_scale_length,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length,detection_success,fixed_ANG_deg,fixed_PEN_deg,fixed_FL_px,fixed_FL_mm,delta_vs_fixed_ANG_deg,delta_vs_fixed_PEN_deg,delta_vs_fixed_FL_px,delta_vs_fixed_FL_mm
0,0.0,22.027386176215856,45.69999614791905,45.69999614791905,347.5721684609997,21.5,21.5,21.5,houghpeaks,False,0.1830539193475306,2.0,3,False,first frame,False,False,False,False,,,nan,1.0,nan,nan,0.0,0.0,1.0,nan,0.0,0.8893,0.754,1.0,1.0,nan,1.0,1.0,1.0,1.0,nan,1.0,nan,1.0,0.9597694065326139,1.0,0.9710957939202826,0.5958244154923542,0.6573509140707907,0.5,50.0,2.0083990619548473,50.0,2.0083990619548473,0.5733022388194514,0.6573509140707907,0.5,True,45.69999614791905,45.69999614791905,347.5721684609997,22.027386176215856,0.0,0.0,0.0,0.0
1,0.09090909090909091,22.156782155117032,45.707956798742075,45.725733906665624,349.6139196073693,21.0,21.0,21.0,houghpeaks,False,0.18979779411764705,1.5,5,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,0.9355476498603821,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8889180672268908,0.7531512605042017,1.0,1.0,nan,0.985090587658389,1.0,1.0,1.0,0.5,0.9394130628134758,0.7565024618674556,0.987470778176743,0.9536461639143453,0.9958640692324223,0.9688060868646439,0.6074334194815705,0.6946090947217523,0.5051867402821982,50.51867402821982,2.1222336873699676,50.51867402821982,2.1222336873699676,0.5923742941188879,0.6946090947217523,0.5051867402821982,True,45.724862753547484,45.707085645623934,349.61910598142777,22.157110841572983,0.0008711531181404553,0.0008711531181404553,-0.005186374058439469,-0.0003286864559512992
2,0.18181818181818182,22.20128160054741,45.58766014327293,45.60253012709936,350.3160804820104,20.5,20.5,20.5,angle_profile_localmax,True,0.287593984962406,7.5,5,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,0.9343987107276917,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8975202429149798,0.7722672064777328,1.0,1.0,nan,0.986566786323979,1.0,1.0,1.0,0.5,0.9394130628134758,0.307276659989725,0.9948918137182335,0.9568660543487635,0.997207077505293,0.9713596000391872,0.5945155420145671,0.6746881282778896,0.5028782130452901,50.28782130452901,2.061369315749456,50.28782130452901,2.061369315749456,0.5824825836977932,0.6746881282778896,0.5028782130452901,True,45.59106946987188,45.576199486045454,350.3847546557016,22.20563382630509,0.011460657227473803,0.011460657227473803,-0.06867417369119266,-0.004352225757678241
3,0.2727272727272727,22.211320960117316,45.667865085632435,45.693087237899306,350.47449246733436,20.5,20.5,20.5,houghpeaks,False,0.20194085027726433,5.5,5,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9313532710075378,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8933971774193548,0.7631048387096774,1.0,1.0,nan,0.9974379615085386,1.0,1.0,1.0,0.0,1.0,0.7695978385939384,0.9872552799970702,0.9613147403093036,0.9976938696979696,0.9718383389770233,0.5921556594807609,0.6483723195631982,0.5021595356353086,50.21595356353086,1.9809668329874441,50.21595356353086,1.9809668329874441,0.5706017375636386,0.6483723195631982,0.5021595356353086,True,45.64096319922123,45.61574104695436,350.7864276991822,22.23108985543567,0.05212403867807325,0.05212403867807325,-0.31193523184782634,-0.019768895318353685
4,0.36363636363636365,22.240000368345914,45.668951812499735,45.672660231653964,350.92702750841676,20.5,20.5,20.5,houghpeaks,False,0.20202485043718363,1.5,8,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9553388357162476,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8945866141732284,0.765748031496063,1.0,1.0,nan,0.9990734628870738,1.0,1.0,1.0,0.0,1.0,0.2780899841269502,0.9953758911952167,0.9617624975367047,0.9991660779540399,0.9724005871301238,0.5894096461902019,0.6458038152496928,0.500469594275588,50.046959427558804,1.973119302021182,50.046959427558804,1.973119302021182,0.5685113661129745,0.6458038152496928,0.500469594275588,True,45.62007635212325,45.61636793296902,351.24211308422804,22.259968916712953,0.052583879530715194,0.052583879530715194,-0.31508557581128116,-0.019968548367039318
5,0.45454545454545453,22.20102155767932,45.66151560930244,45.67197259728576,350.31197724148825,20.5,20.5,20.5,houghpeaks,False,0.1978319783197832,6.0,8,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9430860280990601,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.9001879699248121,0.7781954887218046,1.0,1.0,nan,0.9989953348509862,1.0,1.0,1.0,0.0,1.0,0.30155104899591834,0.9949867576400323,0.9638659127560228,0.999095755928304,0.973907746423826,0.5821867859867119,0.6339399845707769,0.5005302285599289,50.05302285599289,1.936871833741006,50.05302285599289,1.936871833741006,0.5632993212941844,0.6339399845707769,0.5005302285599289,True,45.619402365361566,45.60894537737825,350.6265160465248,22.220955454448507,0.05257023192419297,0.05257023192419297,-0.3145388050365341,-0.019933896769188664
6,0.5454545454545454,22.170411198949985,45.783723762826384,45.77620360679873,349.8289735534514,20.5,20.5,20.5,angle_profile_localmax,True,0.30260155180282977,4.0,2,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9118961691856384,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8981939163498098,0.7737642585551331,1.0,1.0,nan,0.9936517369679203,1.0,1.0,1.0,0.0,1.0,1.910549682365513,0.9686591390070064,0.9631180856344657,0.9942847455157211,0.9725852003443458,0.5885140527520734,0.6381194352985613,0.5084253503861629,50.84253503861629,1.949641276578146,50.84253503861629,1.949641276578146,0.5695929226034075,0.6381194352985613,0.5084253503861629,True,45.65287834994376,45.660398505971415,350.56405113822404,22.216996740884948,0.12332525685496876,0.12332525685496876,-0.7350775847726254,-0.046585541934963004
7,0.6363636363636364,22.222489569536602,45.59446228045172,45.57147965281666,350.6507229907156,21.0,21.0,21.0,houghpeaks,False,0.29108193752829337,1.5,5,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,0.8816055059432983,0.9591233465406629,0.0,1.0,144.0,144.0,0.6100587591368638,1.4826,144.0,0.9080263157894737,0.7956140350877193,1.0,1.0,nan,0.9864434749023782,1.0,1.0,1.0,0.5,0.9394130628134758,0.3447761370633202,0.9942702092744934,0.8420500792109108,0.9970948995835098,0.8484659497267367,1.650270437829838,1.7240910709927186,0.5030533482055072,50.30533482055072,5.2676018479432845,50.30533482055072,5.2676018479432845,0.9312946826188292,1.7240910709927186,0.5030533482055072,True,45.41633912873914,45.4393217563742,351.58451680359553,22.281668752427866,0.15514052407752388,0.15514052407752388,-0.9337938128799124,-0.05917918289126334
8,0.7272727272727273,22.27384419453469,45.30595605892367,45.27700000408174,351.4610523792456,21.0,21.0,21.0,houghpeaks,False,0.20569620253164558,7.0,3,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.8604831695556641,0.9121848212348089,0.0,1.0,144.0,144.0,0.6100587591368638,1.4826,144.0,0.9011882129277566,0.7804182509505704,1.0,1.0,nan,0.9956673252948229,1.0,1.0,1.0,0.0,1.0,1.3026263819168094,0.978523535602817,0.8366521106113257,0.9960997466771263,0.8332837740126974,1.827398788856088,1.7873744997139556,0.5047497837205416,50.47497837205416,5.460951208475749,50.47497837205416,5.460951208475749,0.9498299280177638,1.7873744997139556,0.5047497837205416,True,45.06669516712202,45.09565122196395,352.744462758669,22.355180327330647,0.2103048369597218,0.2103048369597218,-1.283410379423401,-0.08133613279595764
9,0.8181818181818182,22.34485800864897,45.06883735552813,45.03851571886639,352.58158593528947,19.5,19.5,19.5,houghpeaks,False,0.1978319783197832,7.0,8,False,raw alpha jump 1.50deg within limit,False,False,False,False,,,0.8537311553955078,0.8971803453233507,0.0,1.0,144.0,144.0,0.6100587591368638,1.4826,144.0,0.8924698795180723,0.7610441767068273,1.0,1.0,nan,0.9606299359038215,1.0,1.0,1.0,1.5,0.8290291181804004,0.7998079443578376,0.9867583203438551,0.8156119760418259,0.9920076859110519,0.8220204822170999,1.9641637489355974,2.0439515809480833,0.5139329611330672,51.39329611330672,6.244869140647729,51.39329611330672,6.244869140647729,1.0249166251014092,2.0439515809480833,0.5139329611330672,True,44.78915987608568,44.819481512747416,354.12245500526933,22.442510585958946,0.24935584278071588,0.24935584278071588,-1.5408690699798626,-0.0976525773099759
10,0.9090909090909091,22.317449908650858,45.1575335310489,45.15447070692824,352.1491109846289,20.0,15.5,20.0,angle_profile_localmax,True,0.3075563411400795,4.5,2,True,raw alpha jump 4.00deg; selected candidate 20.00deg near previous 19.50deg,False,False,False,False,,,0.8109724521636963,0.802161004808214,1.0,1.0,144.0,144.0,0.6758069404906374,1.175543504154682,144.0,0.8898243801652892,0.7551652892561983,1.0,1.0,nan,0.9803308538987467,1.0,1.0,1.0,0.5,0.9394130628134758,2.2095474823436803,0.9638440306700308,0.8276565108867214,0.9915324112521017,0.8127915480557383,2.079511489775401,1.895169369581202,0.5151940743442014,51.51940743442014,5.790296023993276,51.51940743442014,5.790296023993276,0.9881194406987807,1.895169369581202,0.5151940743442014,True,44.81359824865126,44.81666107277192,354.25142803173486,22.4506842515112,0.34087245827697643,0.34087245827697643,-2.1023170471059416,-0.13323434286034086
11,1.0,22.3294830704996,45.16851558237687,45.167728799561786,352.3389833609404,20.0,20.0,20.0,houghpeaks,False,0.19927371765773944,4.5,5,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9165805578231812,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8879648760330578,0.7510330578512396,1.0,1.0,nan,0.9985423024982522,1.0,1.0,1.0,0.0,1.0,0.4376282929079025,0.9927327303595438,0.9592648378694405,0.9986879765775898,0.9705187206687896,0.5987083971688936,0.6603203990382323,0.5009267167091838,50.09267167091838,2.017471705949766,50.09267167091838,2.017471705949766,0.5751279244362246,0.6603203990382323,0.5009267167091838,True,44.826693874879055,44.82748065769414,354.4426413031451,22.46280239258682,0.3410349246827309,0.3410349246827309,-2.103657942204677,-0.13331932208722108
12,1.0909090909090908,22.384421081119065,44.9816751271361,45.01377041099917,353.20585532337776,20.5,16.0,20.5,angle_profile_localmax,True,0.30237877401646845,4.5,8,True,raw alpha jump 4.00deg; selected candidate 20.50deg near previous 20.00deg,False,False,False,False,,,0.9274473190307617,1.0,0.0,1.0,144.0,144.0,0.6100587591368638,1.4826,144.0,0.8879807692307693,0.7510683760683761,1.0,1.0,nan,0.9840359232539047,1.0,1.0,1.0,0.5,0.9394130628134758,1.0778625673221427,0.9821960213662771,0.8424998309793326,0.9949044389401664,0.8558456543751204,1.5672747132148785,1.7188665191480326,0.5070928802308506,50.709288023085065,5.251639315908421,50.709288023085065,5.251639315908421,0.9336085763997417,1.7188665191480326,0.5070928802308506,True,44.653378022098536,44.621282738235465,355.4501650756408,22.52665421166874,0.3603923889006353,0.3603923889006353,-2.2443097522630637,-0.14223313054967335
13,1.1818181818181819,22.382684111041037,44.990122627328056,45.02312705418552,353.1784475114957,20.5,20.5,20.5,houghpeaks,False,0.09350529709811146,1.5,2,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.8424853086471558,0.8721895747714572,0.0,1.0,144.0,144.0,0.8148882183362806,0.6141129916906356,144.0,0.896692607003891,0.7704280155642024,1.0,1.0,nan,0.999484610070006,1.0,1.0,1.0,0.0,1.0,0.1546568367106147,0.9974257052491686,0.8898605304155618,0.9995361371075409,0.8812834930802496,1.2976296247235457,1.2127694585361457,0.5001948135045173,50.019481350451734,3.705364959193132,50.019481350451734,3.705364959193132,0.778858776118278,1.2127694585361457,0.5001948135045173,True,44.66259322248598,44.629588795628514,355.4228519742613,22.52492324386881,0.36053383169954145,0.36053383169954145,-2.2444044627656012,-0.1422391328277719
14,1.2727272727272727,22.470003810220863,44.739581660291755,44.7454446130659,354.5562731395797,19.0,19.0,19.0,houghpeaks,False,0.09477577438742488,3.5,7,False,raw alpha jump 1.50deg within limit,False,False,False,False,,,0.8963974714279175,0.9919943809509277,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8903008298755186,0.7562240663900415,1.0,1.0,nan,0.9617652062251245,1.0,1.0,1.0,1.5,0.8290291181804004,0.4454779437043612,0.9926028621004407,0.9407986667244508,0.9930627408201067,0.9629922190077305,0.6388270768911009,0.7808871313507828,0.5112672126710197,51.12672126710197,2.385838292039902,51.12672126710197,2.385838292039902,0.6318559860097736,0.7808871313507828,0.5112672126710197,True,44.33535942561241,44.329496472838265,357.1451052726923,22.634071046656874,0.41008518745348965,0.41008518745348965,-2.5888321331126463,-0.1640672364360114
15,1.3636363636363635,22.551026709545518,44.58961344260976,44.59350810629334,355.83474097902194,20.0,15.5,15.5,houghpeaks,False,0.0,2.0,4,True,raw alpha jump 3.50deg; selected candidate 20.00deg near previous 19.00deg,False,False,False,False,,,0.8274288177490234,0.838730706108941,0.0,1.0,144.0,144.0,0.6100587591368638,1.4826,144.0,0.8900111607142858,0.7555803571428571,1.0,1.0,nan,0.9717245475530955,1.0,1.0,1.0,1.0,0.8824969025845955,1.1048705923554394,0.9817540012789427,0.8089601952907903,0.9929602839320427,0.8036947771543373,2.196025560253939,2.1282474608788293,0.5115177414715434,51.15177414715434,6.502417677594521,51.15177414715434,6.502417677594521,1.0433773691628958,2.1282474608788293,0.5115177414715434,True,44.16422369144453,44.16032902776095,358.5702453472281,22.72438929888058,0.42928441484880864,0.42928441484880864,-2.7355043682061364,-0.17336258933506343
16,1.4545454545454546,22.638423585154506,44.31923219427126,44.32981916565737,357.2137843811362,20.5,14.0,14.0,houghpeaks,False,0.0,1.5,7,True,raw alpha jump 6.00deg; selected candidate 20.50deg near previous 20.00deg,False,False,False,False,,,0.9098185300827026,1.0,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8942307692307692,0.7649572649572649,1.0,1.0,nan,0.9831412821605138,1.0,1.0,1.0,0.5,0.9394130628134758,1.3507331005738479,0.9777392907664348,0.9556371462649033,0.9940903318900023,0.9699621604923457,0.6015167370332011,0.6822064825682901,0.5088588887615064,50.885888876150645,2.084340084301028,50.885888876150645,2.084340084301028,0.5891916773220716,0.6822064825682901,0.5088588887615064,True,43.854076918795414,43.8434899474093,360.28983624414417,22.833368371972636,0.4757422468619552,0.4757422468619552,-3.07605186300799,-0.1949447868181302
17,1.5454545454545454,22.53735156987659,44.34270737041496,44.390835533368886,355.61895968247086,20.5,20.5,20.5,houghpeaks,False,0.10445682451253482,2.0,6,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.8883455395698547,0.9741011990441216,0.0,1.0,144.0,144.0,0.8148882183362806,0.6141129916906356,144.0,0.8875,0.75,1.0,1.0,nan,0.9972017145122586,1.0,1.0,1.0,0.0,1.0,0.8406624023519385,0.986086657767413,0.9064717039704953,0.9974811903308825,0.913367343686461,0.9972296955136094,1.0577622848746018,0.5024650608201654,50.24650608201654,3.2317727643481864,50.24650608201654,3.2317727643481864,0.7290326404234545,1.0577622848746018,0.5024650608201654,True,43.90930854103564,43.86118037808172,358.71644657711425,22.733654801824617,0.4815269923332437,0.4815269923332437,-3.0974868946433958,-0.19630323194802557
18,1.6363636363636365,22.385633915980016,44.39618221919571,44.28923217381808,353.2249927570811,21.5,21.5,21.5,houghpeaks,False,0.20153985507246377,0.5,7,False,raw alpha jump 1.00deg within limit,False,False,False,False,,,0.8278794288635254,0.8397320641411675,0.0,1.0,144.0,144.0,0.6100587591368638,1.4826,144.0,0.8960288808664261,0.7689530685920578,1.0,1.0,nan,0.9750172581228009,1.0,1.0,1.0,1.0,0.8824969025845955,0.09003225065225706,0.998500587732646,0.8110639266044783,0.995987973019615,0.8057949142051193,2.1688815358255433,2.1014262362773515,0.5049554189668987,50.495541896689865,6.420471001660809,50.495541896689865,6.420471001660809,1.0301099774138016,2.1014262362773515,0.5049554189668987,True,43.797828440886775,43.904778486264405,356.35980457123986,22.584302614702327,0.49140373293130324,0.49140373293130324,-3.134811814158752,-0.19866869872231163
19,1.7272727272727273,22.25391295521442,44.46437188728615,44.41326915337126,351.14655550634194,22.0,22.0,22.0,houghpeaks,False,0.2939825447864033,1.5,2,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,0.8607547283172607,0.9127882851494683,0.0,1.0,144.0,144.0,1.0,0.0,144.0,0.8918269230769231,0.7596153846153846,1.0,1.0,nan,0.9869431582792922,1.0,1.0,1.0,0.5,0.9394130628134758,0.19284948086993836,0.9967910018616726,0.937471068315942,0.9975494590471935,0.9393847077859218,0.7910100021094235,0.8048990874212743,0.5023655250883001,50.236552508830016,2.459201831993058,50.236552508830016,2.459201831993058,0.6358880032643186,0.8048990874212743,0.5023655250883001,True,43.8901655078144,43.94126824172929,354.4589034766544,22.463833007832974,0.5231036455568585,0.5231036455568585,-3.312347970312487,-0.2099200526185534
20,1.8181818181818181,22.291429550092037,44.55000517780863,44.54741908851375,351.7385333347856,21.5,21.5,21.5,houghpeaks,False,0.09461966604823747,0.5,7,False,raw alpha jump 0.50deg within limit,False,False,False,True,,mid jump/innovation 15.8/15.2px; filtered jump 14.7px,0.8706210851669312,0.9347135225931803,0.0,1.0,144.0,144.0,0.6100587591368638,1.4826,144.0,0.9020541958041957,0.7823426573426573,1.0,1.0,nan,0.9852819416768941,1.0,1.0,1.0,0.5,0.9394130628134758,0.6982330687681042,0.988430232707406,0.8357871740878242,0.9960381696338368,0.839310462637541,1.756076272943186,1.7976131070648373,0.5048627106255397,50.48627106255397,5.492233144743081,50.48627106255397,5.492233144743081,0.9526530459137535,1.7976131070648373,0.5048627106255397,True,43.98615072508997,43.98873681438485,355.2914316884629,22.516594483256338,0.5612683634237783,0.5612683634237783,-3.5528983536773353,-0.22516493316430086
21,1.9090909090909092,22.443287661318443,44.47233830373068,44.41825088712673,354.13471654940344,21.0,21.0,21.0,houghpeaks,False,0.0,2.0,4,False,raw alpha jump 0.50deg within limit,False,False,False,True,,mid jump/innovation 1.8/12.0px; filtered jump 12.1px,0.8043017983436584,0.7873373296525743,1.0,1.0,144.0,144.0,0.6100587591368638,1.4826,144.0,0.894758064516129,0.7661290322580645,1.0,1.0,nan,0.9824059653051079,1.0,1.0,1.0,0.5,0.9394130628134758,1.5751948296899059,0.9740883732543844,0.8053000245401399,0.9934211515189828,0.7884411192329923,2.3974987675990276,2.1752647736449218,0.5104054157602597,51.040541576025966,6.646069302371738,51.040541576025966,6.646069302371738,1.0536920428573442,2.1752647736449218,0.5104054157602597,True,43.842512728490675,43.896600145094624,357.81537361972096,22.676549303149816,0.5757381586360566,0.5757381586360566,-3.6806570703175225,-0.23326164183137266
22,2.0,22.524052639327618,44.625536562412236,44.53169344028197,355.4091146244989,19.5,19.5,19.5,houghpeaks,False,0.0,2.0,5,False,raw alpha jump 1.50deg within limit,False,False,False,True,,mid jump/innovation 0.2/10.3px; filtered jump 10.7px,0.8040747046470642,0.7868326769934759,1.0,1.0,144.0,144.0,0.6350184783833819,1.3623035420894622,144.0,0.8992277992277993,0.7760617760617761,1.0,1.0,nan,0.9597121050883328,1.0,1.0,1.0,1.5,0.8290291181804004,1.0865790088199674,0.9820533441608468,0.8046081926764568,0.9911546156173521,0.7944087215542315,2.3177813447406574,2.1842018357748185,0.5162221972098069,51.62221972098069,6.673374637793214,51.62221972098069,6.673374637793214,1.0618537897532647,2.1842018357748185,0.5162221972098069,True,43.93405354621325,44.027896668343516,359.2251490450678,22.765893820731172,0.5976398940687204,0.5976398940687204,-3.816034420568883,-0.24184118140355437
23,2.090909090909091,22.4914891245523,44.56163225854016,44.48909857897391,354.89529190615065,20.0,22.5,22.5,houghpeaks,False,0.1968503937007874,2.5,5,True,raw alpha jump 3.00deg; selected candidate 20.00deg near previous 19.50deg,False,False,False,True,,mid jump/innovation 14.4/6.0px,0.8062962293624878,0.7917693985833062,1.0,1.0,144.0,144.0,0.6100587591368638,1.4826,144.0,0.8921874999999999,0.7604166666666666,1.0,1.0,nan,0.9809340760055726,1.0,1.0,1.0,0.5,0.9394130628134758,2.0250067453990255,0.9668130690292045,0.8053932134276189,0.9920814975969061,0.789246151593066,2.38667841954057,2.174062174274445,0.5137403941434125,51.374039414341254,6.642395010002361,51.374039414341254,6.642395010002361,1.0568365806992288,2.174062174274445,0.5137403941434125,True,43.12790685947766,43.20044053904391,363.77313919086686,23.05412269622119,1.3611917194962473,1.3611917194962473,-8.87784728471621,-0.5626335716688899
24,2.1818181818181817,22.17108915781249,44.668741005246346,44.688444769133866,349.8396711291911,21.0,16.5,16.5,houghpeaks,False,0.09878277153558053,2.5,4,True,raw alpha jump 3.50deg; selected candidate 21.00deg near previous 20.00deg,False,False,False,False,,,0.7552133798599243,0.6782519552442762,1.0,1.0,144.0,144.0,0.468960499960125,2.271710207748413,144.0,0.8879999999999999,0.7511111111111111,1.0,1.0,nan,0.9743979787533726,1.0,1.0,1.0,1.0,0.8824969025845955,0.28063691359290033,0.9953336395555397,0.7254009732146958,0.9954186159626224,0.6985293084298613,3.7277675948462017,3.3059705069377348,0.5060468564510725,50.60468564510725,10.100705609225184,50.60468564510725,10.100705609225184,1.2934357280343693,3.3059705069377348,0.5060468564510725,True,43.20383930547115,43.18413554158363,359.3797296652752,22.775690367536814,1.4846054636627173,1.4846054636627173,-9.540058536084075,-0.6046012097243256
