Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,RawTimTrackAlpha,HoughBaselineAlpha,HoughPeakSource,HoughLocalmaxFallbackUsed,HoughFallbackMassBelow10Deg,HoughFallbackGapToLowerDeg,FascicleCandidateIdx,FascicleRawRejected,FascicleSelectionReason,SuperApoRejected,DeepApoRejected,SuperApoSoftDownweighted,DeepApoSoftDownweighted,SuperApoGateReason,DeepApoGateReason,speckle_zncc,speckle_confidence,forward_backward_error,valid_patch_fraction,n_valid_patches,n_total_patches,motion_consistency,motion_spread_px,n_motion_points,feature_reliability,feature_peak_score,feature_peak_count_score,feature_mask_score,feature_mask_density,geometry_stability,geometry_alpha_score,geometry_pennation_score,geometry_length_score,geometry_angle_jump_deg,geometry_angle_jump_score,geometry_length_jump_px,geometry_length_jump_score,confidence_theta,confidence_length,combined_confidence,r_scale,r_scale_theta,r_scale_length,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length,detection_success,fixed_ANG_deg,fixed_PEN_deg,fixed_FL_px,fixed_FL_mm,delta_vs_fixed_ANG_deg,delta_vs_fixed_PEN_deg,delta_vs_fixed_FL_px,delta_vs_fixed_FL_mm
0,0.0,92.58169355811013,13.799999828155023,13.799999828155023,1073.4109398041755,11.5,11.5,11.5,houghpeaks,False,0.0,1.5,6,False,first frame,False,False,False,False,,,nan,1.0,nan,nan,0.0,0.0,1.0,nan,0.0,0.8961856617647059,0.7693014705882353,1.0,1.0,nan,1.0,1.0,1.0,1.0,nan,1.0,nan,1.0,0.9623638412258563,1.0,0.9729701078322558,0.5866564874082267,0.6423778889648288,0.5,50.0,1.9626520964699834,50.0,1.9626520964699834,0.5667353390096778,0.6423778889648288,0.5,True,13.799999828155023,13.799999828155023,1073.4109398041755,92.58169355811013,0.0,0.0,0.0,0.0
1,0.09090909090909091,92.89629301777936,13.759200454703091,13.738220215109635,1077.058469771355,11.5,11.5,11.5,houghpeaks,False,0.0,1.5,6,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9621831178665161,1.0,0.0,1.0,136.0,136.0,1.0,0.0,136.0,0.8955645161290322,0.767921146953405,1.0,1.0,nan,0.994662956345069,1.0,1.0,1.0,0.0,1.0,1.605400964890805,0.9735981059220811,0.9621303338289716,0.9951953764135978,0.9720209178819336,0.5912609122608432,0.6437049826124297,0.5064941701747862,50.64941701747861,1.9667067552221287,50.64941701747861,1.9667067552221287,0.5709928379635403,0.6437049826124297,0.5064941701747862,True,13.737566726294006,13.758546965887462,1077.1086276617016,92.90061913582176,0.0006534888156295438,0.0006534888156295438,-0.05015789034655427,-0.004326118042399685
2,0.18181818181818182,93.31645747547516,13.739687249388425,13.7262362144144,1081.9299417446396,11.5,11.5,11.5,houghpeaks,False,0.0,1.0,9,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.8795139789581299,0.9544755087958441,0.0,1.0,136.0,136.0,0.8148882183362806,0.6141129916906356,136.0,0.8925958188153309,0.7613240418118467,1.0,1.0,nan,0.9999836915300327,1.0,1.0,1.0,0.0,1.0,0.0048925808855528885,0.999918460309782,0.9046001686697384,0.9999853223650609,0.9085625580653554,1.0391637842894705,1.074587298706527,0.5000010965254955,50.000109652549554,3.2831780963772474,50.000109652549554,3.2831780963772474,0.7330039752045235,1.074587298706527,0.5000010965254955,True,13.725557005434183,13.739008040408208,1081.98235318464,93.32097796217519,0.0006792089802161172,0.0006792089802161172,-0.052411440000469156,-0.004520486700030801
3,0.2727272727272727,95.82485990289355,13.60242325451486,13.597392112011562,1111.0128684393455,11.5,11.5,11.5,houghpeaks,False,0.0,1.0,4,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.7195007801055908,0.5988906224568684,1.4142135381698608,1.0,136.0,136.0,0.39353945857552636,2.7977218206882477,136.0,0.8891728624535316,0.7537174721189591,1.0,1.0,nan,0.9635686378774266,1.0,1.0,1.0,0.0,1.0,11.133466679447793,0.8306408414355416,0.6860594382305442,0.9671512346603067,0.6392160171504843,4.725766387084656,3.930091916010941,0.6160949122064155,61.60949122064155,12.00757882670667,61.60949122064155,12.00757882670667,1.5560557939733086,3.930091916010941,0.6160949122064155,True,13.593887969163376,13.598919111666675,1111.2929116311323,95.84901362818515,0.0035041428481861203,0.0035041428481861203,-0.2800431917867172,-0.02415372529159754
4,0.36363636363636365,95.63409499451572,13.657419452903424,13.658241809755651,1108.8011013856897,13.0,13.0,13.0,houghpeaks,False,0.0,2.0,2,False,raw alpha jump 1.50deg within limit,False,False,False,False,,,0.7082757949829102,0.5739462110731336,3.0,1.0,136.0,136.0,0.35251947011536505,3.1279482716560363,136.0,0.9032258064516128,0.7849462365591398,1.0,1.0,nan,0.8859189224761777,1.0,1.0,1.0,1.5,0.8290291181804004,25.088952655465164,0.658264000916612,0.6530639524197474,0.9222934247383615,0.607377746425157,5.2973011112750115,4.484820391785616,0.9223974275619589,92.23974275619588,13.702436362518236,92.23974275619588,13.702436362518236,2.0339092389928486,4.484820391785616,0.9223974275619589,True,13.654068525031278,13.65324616817905,1109.1280300119406,95.66229258852987,0.004173284724373616,0.004173284724373616,-0.32692862625094676,-0.02819759401414501
5,0.45454545454545453,94.9706434970052,13.848137662724943,13.848943695020068,1101.1089101102052,12.0,12.0,12.0,houghpeaks,False,0.0,1.5,7,False,raw alpha jump 1.00deg within limit,False,False,False,False,,,0.6888259053230286,0.5307242340511745,2.0,1.0,136.0,136.0,0.35188698615698444,3.1333356509685513,136.0,0.8953010948905109,0.7673357664233577,1.0,1.0,nan,0.9602080288027355,1.0,1.0,1.0,1.0,0.8824969025845955,4.681596397821295,0.924939816684345,0.6446664879458699,0.982362603097439,0.5965570766486352,5.496981763187795,4.630369109058026,0.5456758190297784,54.567581902977835,14.147130210174707,54.567581902977835,14.147130210174707,1.589553539832938,4.630369109058026,0.5456758190297784,True,13.83787622393092,13.837070191635794,1101.9687479954266,95.04480451460554,0.01106747108914874,0.01106747108914874,-0.8598378852213955,-0.07416101760034621
6,0.5454545454545454,95.64394059266989,13.914089914677959,13.90158611444113,1108.9152532483467,11.0,11.0,11.0,houghpeaks,False,0.0,2.5,1,False,raw alpha jump 1.00deg within limit,False,False,False,True,,mid jump/innovation 8.5/6.2px; filtered jump 8.5px,0.7278488278388977,0.6174418396419948,2.0,1.0,136.0,136.0,0.4294387068998649,2.5358287673234936,136.0,0.8984962406015038,0.7744360902255639,1.0,1.0,nan,0.9400047757967913,1.0,1.0,1.0,1.0,0.8824969025845955,11.061096928832853,0.8316433337407426,0.6992726125112839,0.9637404235703972,0.6596028007140146,4.372697530473607,3.715837413495885,0.6346383253401326,63.463832534013264,11.352968735414548,63.463832534013264,11.352968735414548,1.5356473662065906,3.715837413495885,0.6346383253401326,True,13.890029536328058,13.902533336564886,1109.8180618013046,95.72180783036251,0.011556578113072646,0.011556578113072646,-0.902808552957822,-0.07786723769261528
7,0.6363636363636364,95.76221312753285,14.092261450000166,14.09049456293647,1110.2865290148736,11.0,11.0,11.0,houghpeaks,False,0.0,2.0,2,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.8432270288467407,0.873837841881646,0.0,1.0,136.0,136.0,0.7368047072006845,0.9162972160577774,136.0,0.8883426966292134,0.75187265917603,1.0,1.0,nan,0.9671769514330952,1.0,1.0,1.0,0.0,1.0,10.012143048862981,0.846310427742663,0.8652218037927409,0.9704101816898328,0.8537091173512407,1.5910898148557167,1.4648594859914943,0.5992540093576371,59.925400935763705,4.475573631352931,59.925400935763705,4.475573631352931,0.9369220459173593,1.4648594859914943,0.5992540093576371,True,14.072633034187447,14.074399921251143,1111.66663343781,95.88124713401112,0.017861528749023137,0.017861528749023137,-1.3801044229364834,-0.11903400647827311
8,0.7272727272727273,95.3264384435579,14.11459511642347,14.116131050201005,1105.2340689108164,11.5,11.5,11.5,houghpeaks,False,0.0,3.0,1,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,0.8855371475219727,0.9678603278266058,0.0,1.0,136.0,136.0,1.0,0.0,136.0,0.8979838709677419,0.7732974910394266,1.0,1.0,nan,0.9802518845059488,1.0,1.0,1.0,0.5,0.9394130628134758,2.2337146010152082,0.9634558866268038,0.9508065938400663,0.991460526413659,0.9595160153548313,0.6588398574226179,0.712762435322368,0.5153879675101799,51.53879675101799,2.1776974456963116,51.53879675101799,2.1776974456963116,0.606093378002434,0.712762435322368,0.5153879675101799,True,14.098160773034607,14.096624839257071,1106.6151892633961,95.44556007396791,0.01797027716639832,0.01797027716639832,-1.3811203525797282,-0.11912163041000667
9,0.8181818181818182,94.76000178967983,14.214522602656501,14.202391091880372,1098.6666874165778,11.5,11.5,11.5,houghpeaks,False,0.0,1.5,1,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,0.9194014072418213,1.0,0.0,1.0,136.0,136.0,0.6100587591368638,1.4826,136.0,0.8896802325581394,0.7548449612403101,1.0,1.0,nan,0.9833751910981268,1.0,1.0,1.0,0.0,1.0,5.029365601171662,0.9195942305153655,0.848349476539772,0.9850251582127169,0.8561685865568657,1.5636903857277724,1.6515968862870682,0.535733699042434,53.57336990424339,5.046110937314794,53.57336990424339,5.046110937314794,0.9406466441855503,1.6515968862870682,0.535733699042434,True,14.183168292092233,14.195299802868362,1100.1257153624913,94.88584295001486,0.0192227997881389,0.0192227997881389,-1.4590279459134763,-0.12584116033502823
