frame,time_s,success,fascicle_length_px,final_fascicle_length_px,fascicle_angle_deg,pennation_angle_deg,super_apo_angle_deg,deep_apo_angle_deg,selected_line_angle_deg,selected_line_length_px,matlab_formula_fascicle_length_px,muscle_thickness_px,dohough_mask_density,dohough_n_peaks,n_fascicle_candidates,error
0,0.0,True,638.5005796633641,638.5005796633641,24.0,25.4156959719773,-1.4156959719773,-1.8320694980380665,18.434947967529297,805.5336303710938,638.5005796633641,274.0333278658252,0.08412239737867334,10,90,
1,0.02999310158663507,True,639.4668067128613,639.4668067128613,24.0,25.4156959719773,-1.4156959719773,-1.7790716119589547,18.434947967529297,806.917236328125,639.4668067128613,274.4480156864491,0.08424494956010217,10,100,
2,0.05998620317327014,True,663.2961542929946,663.2961542929946,23.0,24.4156959719773,-1.4156959719773,-1.8417044506451532,18.434947967529297,805.9719848632812,663.2961542929946,274.17604747084613,0.08418044841198173,10,130,
3,0.08997930475990522,True,638.933548804067,638.933548804067,24.0,25.4156959719773,-1.4156959719773,-1.817615605494865,19.133642196655273,780.0106201171875,638.933548804067,274.2191506798821,0.08412239737867334,10,86,
4,0.11997240634654029,True,662.8466791361851,662.8466791361851,23.0,24.4156959719773,-1.4156959719773,-1.856157953419256,18.434947967529297,805.5740356445312,662.8466791361851,273.9902551650522,0.08418044841198173,10,96,
5,0.14996550793317537,True,663.1024172561948,663.1024172561948,23.0,24.36281822989619,-1.3628182298961917,-1.856157953419256,18.92464256286621,787.1818237304688,663.1024172561948,273.5386061008523,0.08349028612709307,10,102,
6,0.17995860951981044,True,718.911476222395,718.911476222395,21.0,22.36281822989619,-1.3628182298961917,-1.8417044506451532,18.434947967529297,805.9021606445312,718.911476222395,273.52447744355004,0.08475450863025362,10,102,
7,0.2099517111064455,True,718.4871312764541,718.4871312764541,21.0,22.4156959719773,-1.4156959719773,-1.8417044506451532,18.434947967529297,805.3353271484375,718.4871312764541,273.97612682397147,0.08440620243040325,10,114,
8,0.23994481269308057,True,718.911476222395,718.911476222395,21.0,22.36281822989619,-1.3628182298961917,-1.8417044506451532,18.92464256286621,787.1915283203125,718.911476222395,273.52447744355004,0.08361928842333394,10,119,
9,0.26993791427971564,True,717.9718638887515,717.9718638887515,21.0,22.36281822989619,-1.3628182298961917,-1.8850667869055258,18.434947967529297,804.6767578125,717.9718638887515,273.1669828408629,0.08344513532340876,10,104,
10,0.29993101586635074,True,717.5496425774032,717.5496425774032,21.0,22.4156959719773,-1.4156959719773,-1.8850667869055258,19.983104705810547,749.0916748046875,717.5496425774032,273.6186402225749,0.0831548801568668,10,101,
11,0.3299241174529858,True,717.5496425774032,717.5496425774032,21.0,22.4156959719773,-1.4156959719773,-1.8850667869055258,18.970407485961914,784.0262451171875,717.5496425774032,273.6186402225749,0.08350963647152919,10,98,
12,0.3599172190396209,True,717.2198920603732,717.2198920603732,21.0,22.36281822989619,-1.3628182298961917,-1.9332401119195026,18.434947967529297,803.610107421875,717.2198920603732,272.88087988074574,0.08338063417528832,10,110,
13,0.38991032062625597,True,718.0090783263249,718.0090783263249,21.0,22.36281822989619,-1.3628182298961917,-1.899517036519228,18.434947967529297,804.7183227539062,718.0090783263249,273.1811418297333,0.08352898681596532,10,100,
14,0.419903422212891,True,717.5867729059627,717.5867729059627,21.0,22.4156959719773,-1.4156959719773,-1.899517036519228,19.025606155395508,782.0503540039062,717.5867729059627,273.6327988945449,0.08339998451972445,10,104,
15,0.4498965237995261,True,717.5496425774032,717.5496425774032,21.0,22.4156959719773,-1.4156959719773,-1.8850667869055258,19.746835708618164,756.6881103515625,717.5496425774032,273.6186402225749,0.08352253670115328,10,91,
16,0.47988962538616114,True,717.9998212974965,717.9998212974965,21.0,22.4156959719773,-1.4156959719773,-1.856157953419256,18.778032302856445,791.7993774414062,717.9998212974965,273.79030400991456,0.08397404473799634,10,139,
17,0.5098827269727962,True,784.3923460608145,784.3923460608145,19.0,20.4156959719773,-1.4156959719773,-1.8850667869055258,18.92464256286621,785.6669921875,784.3923460608145,273.6186402225749,0.08383214221213138,10,80,
18,0.5398758285594313,True,785.2127905901823,785.2127905901823,19.0,20.336328071584063,-1.336328071584063,-1.8850667869055258,18.434947967529297,804.8627319335938,785.2127905901823,272.88519355401354,0.08382569209731933,10,106,
19,0.5698689301460664,True,718.0754884801934,718.0754884801934,21.0,22.336328071584063,-1.336328071584063,-1.899517036519228,18.434947967529297,804.8031616210938,718.0754884801934,272.8993526971075,0.08298717717175366,10,110,
20,0.5998620317327015,True,717.9718638887515,717.9718638887515,21.0,22.36281822989619,-1.3628182298961917,-1.8850667869055258,18.434947967529297,804.7748413085938,717.9718638887515,273.1669828408629,0.08307102866431022,10,127,
21,0.6298551333193365,True,717.2198920603732,717.2198920603732,21.0,22.36281822989619,-1.3628182298961917,-1.9332401119195026,18.434947967529297,803.74365234375,717.2198920603732,272.88087988074574,0.08383214221213138,10,133,
22,0.6598482349059716,True,717.7573157409762,717.7573157409762,21.0,22.323051864770065,-1.3230518647700649,-1.9332401119195026,18.434947967529297,804.2608032226562,717.7573157409762,272.62459079274765,0.08514796563378828,10,98,
23,0.6898413364926067,True,688.1335055374561,688.1335055374561,22.0,23.36281822989619,-1.3628182298961917,-1.9332401119195026,18.434947967529297,803.7703857421875,688.1335055374561,272.88087988074574,0.08539952011145799,10,84,
24,0.7198344380792417,True,717.182757344047,717.182757344047,21.0,22.36281822989619,-1.3628182298961917,-1.918787890690595,18.434947967529297,803.8546752929688,717.182757344047,272.86675122344354,0.08454165484145618,10,107,
25,0.7498275396658768,True,717.182757344047,717.182757344047,21.0,22.36281822989619,-1.3628182298961917,-1.918787890690595,18.434947967529297,803.6463623046875,717.182757344047,272.86675122344354,0.08458035553032844,10,93,
26,0.7798206412525119,True,717.9718638887515,717.9718638887515,21.0,22.36281822989619,-1.3628182298961917,-1.8850667869055258,18.824708938598633,789.8607788085938,717.9718638887515,273.1669828408629,0.08642508836657292,10,98,
27,0.809813742839147,True,718.911476222395,718.911476222395,21.0,22.36281822989619,-1.3628182298961917,-1.8417044506451532,18.970407485961914,785.5,718.911476222395,273.52447744355004,0.08797956603627545,10,105,
28,0.839806844425782,True,719.0160884649792,719.0160884649792,21.0,22.336328071584063,-1.336328071584063,-1.856157953419256,18.85315704345703,790.0850219726562,719.0160884649792,273.25682086182405,0.08856007636935938,10,108,
29,0.8697999460124172,True,718.911476222395,718.911476222395,21.0,22.36281822989619,-1.3628182298961917,-1.8417044506451532,19.536653518676758,765.4632568359375,718.911476222395,273.52447744355004,0.08888258210996156,10,125,
30,0.8997930475990522,True,718.9486109387215,718.9486109387215,21.0,22.36281822989619,-1.3628182298961917,-1.856157953419256,18.434947967529297,805.893798828125,718.9486109387215,273.5386061008523,0.08810856833251632,10,107,
31,0.9297861491856872,True,663.0681670750477,663.0681670750477,23.0,24.36281822989619,-1.3628182298961917,-1.8417044506451532,18.85315704345703,789.96435546875,663.0681670750477,273.52447744355004,0.08808276787326814,10,106,
32,0.9597792507723223,True,638.5554460187582,638.5554460187582,24.0,25.36281822989619,-1.3628182298961917,-1.8417044506451532,19.093490600585938,781.3297729492188,638.5554460187582,273.52447744355004,0.08790861477334297,10,116,
33,0.9897723523589574,True,718.9789115611115,718.9789115611115,21.0,22.336328071584063,-1.336328071584063,-1.8417044506451532,18.778032302856445,792.941162109375,718.9789115611115,273.24269205062865,0.08754740834386852,10,111,
34,1.0197654539455925,True,718.6478380583783,718.6478380583783,21.0,22.36281822989619,-1.3628182298961917,-1.8754272300380137,18.799884796142578,791.5951538085938,718.6478380583783,273.4241709476435,0.08662504192574629,10,101,
35,1.0497585555322275,True,750.0738091112227,750.0738091112227,20.0,21.4156959719773,-1.4156959719773,-1.8754272300380137,18.434947967529297,805.1671752929688,750.0738091112227,273.87582257308185,0.08685079594416781,10,130,
36,1.0797516571188626,True,749.8529968446707,749.8529968446707,20.0,21.389186380818927,-1.389186380818927,-1.8417044506451532,18.434947967529297,804.7894897460938,749.8529968446707,273.472180275378,0.08636703733326453,10,106,
37,1.1097447587054976,True,718.911476222395,718.911476222395,21.0,22.36281822989619,-1.3628182298961917,-1.8417044506451532,18.778032302856445,792.734619140625,718.911476222395,273.52447744355004,0.08648958951469336,10,116,
38,1.1397378602921329,True,718.7149738863666,718.7149738863666,21.0,22.336328071584063,-1.336328071584063,-1.8754272300380137,18.778032302856445,792.4287109375,718.7149738863666,273.14238446215666,0.0869088469774762,10,140,
39,1.169730961878768,True,717.4471675183006,717.4471675183006,21.0,22.349522336962593,-1.3495223369625933,-1.860976581515331,18.92464256286621,785.7017822265625,717.4471675183006,272.81337647744493,0.09026935679455095,10,133,
40,1.199724063465403,True,688.9958152649109,688.9958152649109,22.0,23.44206261437907,-1.4420626143790685,-1.610417764349478,18.92464256286621,787.0535888671875,688.9958152649109,274.09737337321286,0.11310276322918549,10,207,
41,1.229717165052038,True,665.4870760917092,665.4870760917092,23.0,24.495038150183262,-1.4950381501832624,-1.263389091879759,18.970407485961914,789.6834716796875,665.4870760917092,275.9205499797835,0.09924791661291571,10,98,
42,1.259710266638673,True,692.2894538573563,692.2894538573563,22.0,23.57433401988581,-1.5743340198858107,-1.080195716484127,18.434947967529297,810.856201171875,692.2894538573563,276.8732073679069,0.09730643205449056,10,119,
43,1.289703368225308,True,699.2742628164785,699.2742628164785,22.0,23.05899402219805,-1.0589940221980498,-0.9500195622318017,18.434947967529297,821.0799560546875,699.2742628164785,273.8908410233678,0.0931138574266622,10,126,
44,1.319696469811943,True,601.9940728978941,601.9940728978941,26.0,26.924293703781274,-0.9242937037812737,-0.8342991481255808,18.758649826049805,809.5650634765625,601.9940728978941,272.59061893195997,0.08434170128228283,10,108,
45,1.3496895713985784,True,695.0347327740011,695.0347327740011,22.0,23.270434863997366,-1.270434863997366,-0.7667906749980489,18.799884796142578,801.1741943359375,695.0347327740011,274.5884306619811,0.08549627183363864,10,134,
46,1.3796826729852134,True,667.2762137975512,667.2762137975512,23.0,24.323316604012348,-1.3233166040123479,-0.6992826137523025,18.434947967529297,814.569091796875,667.2762137975512,274.84121109468197,0.0791816094326479,10,111,
47,1.4096757745718485,True,671.6137411752402,671.6137411752402,23.0,23.813791674647916,-0.8137916746479164,-0.6269469496684223,22.425861358642578,687.7807006835938,671.6137411752402,271.17447461590837,0.0825356691349106,10,83,
48,1.4396688761584835,True,621.3433894576328,621.3433894576328,25.0,26.151387362082232,-1.1513873620822324,-0.573902223317873,18.434947967529297,818.1778564453125,621.3433894576328,273.8536284378748,0.08777316236229005,10,137,
49,1.4696619777451185,True,644.4830220441386,644.4830220441386,24.0,25.05882690322602,-1.05882690322602,-0.5546143693307499,18.88608741760254,801.939453125,644.4830220441386,272.96985980428036,0.09132717562372611,10,125,
50,1.4996550793317536,True,647.8386735624491,647.8386735624491,24.0,24.703017481546397,-0.7030174815463965,-0.4051155947446716,-20.376434326171875,793.0082397460938,647.8386735624491,270.74144730124857,0.0803942310173121,10,112,
51,1.5296481809183886,True,646.9262228976005,646.9262228976005,24.0,24.65973325209785,-0.6597332520978512,-0.400292131063992,18.434947967529297,825.991943359375,646.9262228976005,269.9160463485538,0.08699914858484481,10,108,
52,1.5596412825050239,True,645.9810546131912,645.9810546131912,24.0,24.727093429011575,-0.7270934290115747,-0.36653281297978424,20.323135375976562,753.2486572265625,645.9810546131912,270.21170006969476,0.07333780541293634,10,92,
53,1.589634384091659,True,646.3640924996554,646.3640924996554,24.0,24.664468111841984,-0.664468111841984,-0.3520648175777126,21.801406860351562,705.3340454101562,646.3640924996554,269.7300520830949,0.10349854227405247,10,136,
54,1.619627485678294,True,764.1006709845662,764.1006709845662,20.0,20.703017164372,-0.7030171643719996,-0.3231312353081819,19.5024471282959,783.0239868164062,764.1006709845662,270.12800450981644,0.09960267292757811,10,114,
55,1.649620587264929,True,646.3485003429669,646.3485003429669,24.0,24.76063940696065,-0.7606394069606495,-0.29901597813514513,19.79887580871582,770.6683959960938,646.3485003429669,270.70908617464937,0.08537371965220981,10,134,
56,1.679613688851564,True,645.6046560082194,645.6046560082194,24.0,24.71735593952397,-0.7173559395239693,-0.36653281297978424,24.507404327392578,634.4356079101562,645.6046560082194,269.9545888763918,0.08049098273949276,10,107,
